ID,lat,lon,ele,time,name,plot,aspect,Lat,Long
1,-28.66102003,28.88308003,2032.031006,2023-12-03T11:39:02Z,PFTC1 E1,1,E,,
2,-28.66089203,28.88308296,2032.803589,2023-12-03T11:38:00Z,PFTC1 E5,1,E,,
3,-28.66247102,28.88263998,2039.265381,2023-12-03T10:40:28Z,PFTC1 W1,1,W,,
4,-28.66239801,28.88277099,2039.833618,2023-12-03T10:41:18Z,PFTC1 W5,1,W,,
5,-28.679927,28.89512901,2201.880127,2023-12-03T06:49:24Z,PFTC2 E1,2,E,,
6,-28.67980203,28.89510596,2200.520508,2023-12-03T06:50:31Z,PFTC2 E5,2,E,,
7,-28.68038499,28.89387399,2197.663818,2023-12-03T06:34:15Z,PFTC2 W1,2,W,-28.68031898,28.89388199
8,-28.68025297,28.89389,2197.556641,2023-12-03T06:35:38Z,PFTC2 W5,2,W,,
9,-28.71917199,28.89683104,2403.940674,2023-12-03T13:40:55Z,PFTC3 E1,3,E,,
10,-28.719058,28.89677798,2402.179199,2023-12-03T13:42:05Z,PFTC3 E5,3,E,-28.719115,28.89680451
11,-28.71877301,28.89568004,2421.625244,2023-12-03T14:09:09Z,PFTC3 W1,3,W,,
12,-28.71863304,28.89562304,2429.857178,2023-12-03T14:24:49Z,PFTC3 W5,3,W,-28.71870303,28.89565154
13,-28.728377,28.89262198,2587.221924,2023-12-02T15:05:24Z,PFTC4 E1,4,E,,
14,-28.72826996,28.89271804,2585.166504,2023-12-02T15:07:10Z,PFTC4 E5,4,E,-28.72832348,28.89267001
15,-28.72828497,28.89249902,2590.217041,2023-12-02T15:18:09Z,PFTC4 W1,4,W,,
16,-28.72816301,28.89243398,2589.800049,2023-12-02T15:13:39Z,PFTC4 W5,4,W,-28.72822399,28.8924665
17,-28.73781703,28.89437397,2796.946777,2023-12-05T09:27:18Z,PFTC5 E1,5,E,,
18,-28.73773104,28.89439501,2797.557373,2023-12-05T09:25:49Z,PFTC5 E4,5,E,,
19,-28.73769097,28.89438001,2797.429443,2023-12-05T09:24:18Z,PFTC5 E5,5,E,-28.73774635,28.89438299
20,-28.73771704,28.892625,2813.304932,2023-12-05T10:54:54Z,PFTC5 W1,5,W,,
21,-28.73776599,28.89251998,2806.953857,2023-12-05T11:04:25Z,PFTC5 W5,5,W,-28.73774152,28.89257249