"","curveid","topt_temp","topt_temp_cond","topt_weib","breadth_temp","breadth_temp_cond","breadth_weib"
"1",1091,16.4084464285714,15.3033571428571,14.9703302109518,12.0005269230769,5.9370802910053,7.791
"2",1095,20.6795666666667,20.6795666666667,20.1958803499636,10.7291362318841,10.7291362318841,10.217
"3",1098,20.8974666666667,21.9730666666667,20.3932857158372,7.9717333333333,7.2228666666666,7.228
"4",1100,19.9610333333333,17.6666,18.4753954199214,10.9209,7.4867333333333,8.517
"5",1105,14.23,17.3920666666667,16.808539975717,8.6654333333334,6.4324666666667,7.507
"6",1114,23.0701666666667,23.3104,23.402901443227,10.3876333333333,10.3857666666667,9.722
"7",1138,17.374125,17.5653708333333,17.6757993355908,11.2385166666667,11.5798833333334,10.563
"8",1139,15.8145208333333,16.1456958333333,16.7046719778352,10.705256,10.6466851666667,10.45
"9",1143,18.3745333333333,17.9714666666667,19.3581101110771,7.2689333333334,6.7725,6.286
"10",1145,23.8297333333333,22.8022,23.3655974246857,7.9984333333333,6.9921333333333,7.54799999999999
"11",1157,17.6279333333333,17.4301666666667,16.9926538596991,9.7256333333333,8.8181,9.227
"12",1158,18.5324125,18.5656291666667,18.4028025966328,8.5141583333334,8.5313166666666,8.166
"13",1159,17.8472,17.8472,16.9980666467329,10.8025333333334,10.8222666666667,10.471
"14",1160,17.6287,17.0281666666667,16.7886794713062,12.6479,12.4622,12.076
"15",1006,15.9428666666667,15.5064666666667,17.0170698512209,8.795,8.5180333333333,NA
"16",1019,17.3411375,19.09375,17.4021138718973,11.2557875,11.5178833333334,10.633
"17",1037,21.5648333333333,21.3944,20.9860535237043,11.0046666666667,10.9537,10.382
"18",1045,16.2031333333333,16.7175,17.6567305545552,8.0691666666667,7.6599666666667,NA
"19",1026,17.1241333333333,15.6048,15.900555232445,13.1891666666666,10.2914,10.156
"20",1057,14.5831666666667,14.8210666666667,18.1682375296339,2.5632333333334,4.3702,4.614
"21",1068,24.3225666666667,24.3517333333333,24.3219181713756,7.2641333333333,7.2433333333333,6.592
"22",1075,13.9179625,14.2534541666667,14.4378852071223,10.8555664,10.8555664,NA
"23",1078,13.413,14.5604666666667,15.5957465749695,8.5873333333334,8.759,NA
"24",1092,17.1525037037037,16.5824461538462,18.0500769168942,7.840553784219,7.813846215781,6.824
"25",1094,18.740825,18.7975666666667,19.334157319563,8.8043875,8.4694375,8.307
"26",1112,23.8008666666667,24.1607666666667,24.630458593914,10.8131,8.7565333333333,9.116
"27",1113,27.9826333333333,30.8858,27.1502909479769,9.4693666666667,5.5472666666667,7.273
"28",1119,21.1582666666667,21.1143666666667,20.9713143904841,7.3781,7.3670666666667,6.761
"29",1121,17.8622541666667,16.2090208333333,16.4059512179975,9.4494775362319,6.4584875,8.787
"30",1122,10.595025,11.5907791666667,12.5629187982543,8.78687282051285,10.7607370833333,8.078
"31",1125,13.9195333333333,14.8937666666667,14.5415076360782,8.49681333333333,7.8044,7.862
"32",1124,16.9976333333333,15.7813666666667,15.5847990625282,10.7356,8.6371666666667,9.632
"33",1129,13.0752,13.4226666666667,14.154336833875,9.71556999999997,9.84043666666667,8.861
"34",1131,18.2628,18.0896666666667,18.1718499049848,9.2935,8.3351,8.223
"35",1142,22.0559,22.7210666666667,23.2043675258839,7.4518666666667,7.2350333333333,6.832
"36",1146,32.4256666666667,32.0912333333333,29.0475590987612,2.3701333333334,2.1808333333334,6.016
"37",1147,21.7841333333333,27.6658666666667,22.6711247840188,8.9253,6.2049166666667,6.642
"38",1149,14.9578541666667,14.5423565217391,14.7546613478411,7.6234708333333,6.4371625,6.52
"39",1153,16.00215,16.0804,15.7568450389892,9.5754,8.0777666666667,8.681
"40",1162,12.9638,12.4566,13.5236073927128,9.38100000000003,9.31797000000003,9.425
"41",1163,19.3394041666667,22.2032875,20.4437856313812,8.180875,9.5762976449276,7.666
"42",1030,20.9841333333333,28.7282666666667,22.7326788916577,6.0346333333334,0,4.748
"43",1035,25.2874333333333,25.9245666666667,25.9172390512383,10.4097333333334,8.0699666666667,8.387
"44",1039,17.8015,18.2325,18.3618305779055,8.6179,9.0140666666667,8.634
"45",1052,26.0007333333333,26.8046333333333,26.7498674706632,7.8310666666667,4.9342333333334,6.218
"46",52,25.8571,25.8571,25.38168177973,12.6031,12.66065,14.258
"47",48,22.93905,22.7204,22.7493513207721,10.8724,12.0543,10.565
"48",58,21.4293615384615,21.5384615384615,22.8466658905684,7.4615153846154,7.2575384615385,6.613
"49",59,15.9440384615385,10.4490769230769,17.347941104945,7.6226615384616,9.3368538461539,6.211
"50",57,20.5836,20.3803,20.6130113721183,9.4636,9.44615,9.033
"51",61,20.4793,20.8419,21.2073256245584,7.88355,7.8263,7.742
"52",62,17.8905,18.35235,18.1692161748481,8.5443,7.499,7.319
"53",69,18.4438,18.3341,19.0283100051588,8.43695,8.2739,7.86
"54",70,20.0972,20.0972,21.1032590209566,7.7567,8.62805,7.545
"55",9,25.5812230769231,25.5812230769231,25.4534931049291,9.962476923077,9.8193692307693,9.333
"56",4,24.1868,24.09875,23.5599348966492,10.1593,9.5811,10.472
"57",7,23.7696,23.4484,23.5567720195175,9.46355,9.5544,9.169
"58",10,26.74265,26.56265,26.1613528918936,12.1137429487179,11.5301615384615,12.199
"59",12,27.6363,27.56945,27.4678299412559,12.10755,11.9123,11.49
"60",13,22.3303153846154,22.3303153846154,22.1695069524312,8.8601461538462,8.8601461538462,8.306
"61",14,21.87595,21.4999,21.8354377873318,9.2517,9.0527,9.004
"62",15,23.72095,23.72095,23.3426972109911,9.78155,9.65545,9.665
"63",17,27.94465,28.00775,27.8524119960998,11.64415,11.21235,11.135
"64",72,22.03925,21.9583,21.8104125539037,10.12285,9.92645,9.507
"65",75,20.0485461538462,20.1489307692308,19.711714393059,8.0904153846153,7.7989153846154,7.465
"66",76,22.2631384615385,21.1785538461538,21.9350007474652,9.6158692307693,10.0649615384615,9.70500000000001
"67",95,20.47085,20.3692,19.0815482069698,10.14055,8.03265,8.455
"68",98,21.03625,20.2889,21.740920998088,8.28435,8.16365,8.3
"69",101,20.2082,21.2893,20.8460502456009,10.20545,9.37295,8.893
"70",63,28.48755,28.48755,22.6364763567843,1.4372,1.53745,9.536
"71",66,24.41275,24.1948,23.6484590674347,11.2318,11.13885,11.773
"72",68,22.95325,23.1707,22.9615027979565,9.16155,8.57755,8.718
"73",3,21.8352333333333,22.0369333333333,21.785415416075,9.1198916666667,9.0240916666667,8.707
"74",6,22.83535,23.4852,23.4655617170427,8.58825,7.9932,7.645
"75",2,26.3630461538461,26.3630461538461,23.3452849782458,2.4322076923077,2.5769230769231,9.267
"76",1,22.8163384615385,22.8163384615385,22.5707660857606,9.7305307692308,9.6407,9.541
"77",5,22.9519,23.12055,23.1842815449715,9.6789,9.73225,9.226
"78",11,20.2842307692308,20.2842307692308,21.299696705941,7.5393769230769,7.5393769230769,7.183
"79",33,21.7406153846154,21.3597615384615,20.8050509920943,9.0232769230769,7.6359923076923,8.391
"80",38,25.5209230769231,25.2129615384615,25.0358830388663,10.3007692307692,9.9362076923077,10.552
"81",40,28.27525,28.35,27.5237037937111,12.5525,12.63145,13.19
"82",42,24.3228153846154,24.3228153846154,24.0528272833406,9.8390230769231,9.9307769230769,9.702
"83",83,20.6952,21.4867076923077,21.1292766137889,7.3505307692308,5.4550615384615,6.632
"84",86,24.78348,24.64202,24.6127333392645,7.96116,8.10032,7.844
"85",94,22.8543,22.63705,21.9726376055229,9.17235,7.56075,8.374
"86",96,21.6121,21.20315,21.3132185606105,8.49775,6.5482,7.536
"87",97,22.61555,21.8864,22.2453020290048,8.2108,7.1544,6.99
"88",99,22.71825,22.9166,22.5145855518963,8.65265,7.5115,7.838
"89",100,25.74865,25.86255,25.3712684986237,11.5212,11.4327,11.376
"90",118,22.78445,22.892,21.9705184045454,11.23295,10.25555,9.679
"91",119,20.9935,21.53915,21.2460645239099,8.9639,8.69135,8.467
"92",120,21.3697,22.8917,21.4739735479723,8.95615,8.3435,8.299
"93",121,19.4654,19.33995,20.4187693719138,5.64535,4.9846,4.766
"94",21,23.1854833333333,23.264225,22.7528575478282,10.144875,9.9322,9.962
"95",125,22.4489,22.8740384615385,23.4966018325393,9.1067461538461,7.7982384615385,8.754
"96",124,26.0389615384615,27.6893846153846,26.996683597283,9.9646692307692,7.9598923076924,8.72
"97",126,22.07235,22.60545,22.90843312762,8.028,7.29165,7.716
"98",127,21.54535,23.8706,22.5557544831901,7.57855,6.7733,7.146
"99",25,18.40815,20.394,20.0371390437503,9.0966,7.05825,7.826
"100",31,15.57015,20.4565,19.6063565260929,2.3291,5.89755,5.137
"101",22,15.6518307692308,13.2082076923077,18.1792780122504,7.0936478021978,7.6893384615385,7.14
"102",26,20.5694384615385,22.3013230769231,21.2919857893849,9.0481153846154,8.2387307692308,8.163
"103",27,13.5187,13.59795,16.5449711357282,4.236,0.10005,6.017
"104",28,21.36425,21.61875,20.7106266033748,12.3339,12.23065,10.826
"105",44,19.43955,15.64515,20.5005534134497,9.082,9.81165,8.437
"106",47,17.50735,14.94815,17.86334777658,11.583,9.83945,10.931
"107",46,24.2554384615385,24.0560307692308,24.5486474213676,14.6170692307692,13.8668230769231,14.456
"108",54,23.45575,23.57555,23.7320765644562,13.32845,13.32845,13.09
"109",115,21.80305,21.4112,20.2054004180334,13.1199,10.2653,11.165
"110",114,22.3017,22.22685,21.9411225581499,9.8733,8.5692,9.088
"111",78,25.18285,26.63145,26.2540084343599,10.53955,10.0412,9.855
"112",79,17.97492,13.44748,22.5401660440197,9.58404,0.78586,6.529
"113",81,19.24495,18.31565,19.8363904626488,9.39545,8.8141,9.526
"114",82,20.39828,21.63248,20.6644267188966,10.506535,9.142725,10.259
"115",1054,14.3338666666667,14.3648583333333,15.5009925951273,8.4066083333334,7.7032458333334,7.435
"116",1063,19.7841666666667,19.8397,19.9579927757504,10.8443666666667,10.8222333333334,NA
"117",1097,21.4154,21.0266666666667,22.2671049567103,8.2598,8.2104333333334,7.791
"118",1101,18.6953666666667,18.6953666666667,19.3789650366542,9.7036333333333,9.6139,9.401
"119",1108,14.8948333333333,11.2722666666667,16.1195194704139,8.9182333333333,7.6156666666666,NA
"120",1151,15.5544086956522,15.8319416666667,14.1046871732029,8.6769625,8.6529125,7.001
"121",1155,18.0619,18.0854666666667,17.5656117010406,7.6891666666666,8.0959,6.871
"122",1004,15.2987875,14.4185166666667,16.6361326470059,7.9002108974359,8.0515733974359,7.652
"123",1014,19.313925,19.3615,19.9021332652291,8.4269875,8.4168333333334,8.322
"124",1025,16.4411666666667,16.1353666666667,15.7203342399073,8.3758666666667,6.1173,6.212
